-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
%1 was updated in your shopping cart.,%1 a fost actualizat în cosul dumneavoastra de cumparaturi.,module,Magento_Checkout
%1 with %2 discount each,%1 cu %2 reducere fiecare,module,Magento_Sales
%1 x %2,%1 x %2,module,Magento_Bundle
%1' file extension is not supported,Extensia fisierului '%1' nu este acceptata,module,Magento_ImportExport
%1's Wish List,Lista de dorinte a %1,module,Magento_Wishlist
%1's Wishlist,Lista de Dorinte a %1,module,Magento_Wishlist
%customer_name wants to share this Wish List from %store_name with you:,%customer_name doreste sa partajeze aceasta Lista de Dorinte de la %store_name cu dumneavoastra:,module,Magento_Wishlist
"%customer_name,","%customer_name,",module,Magento_Sales
"%name,","%name,",module,Magento_Customer
"%name,","%name,",module,Magento_ProductAlert
"%name,","%name,",module,Magento_Sales
"%name,","%name,",module,Magento_SendFriend
"%name,","%name,",module,Magento_User
%sender_name wants to share this product with you:,%sender_name vrea sa partajeze acest produs cu dumneavoastra:,module,Magento_SendFriend
"%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","%value%' pare a fi un nume de gazda DNS, dar notatia punycode data nu poate fi decodata.",module,Magento_Customer
"%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","%value%' pare a fi un nume de gazda DNS, dar notatia punycode data nu poate fi decodata.",module,Magento_Eav
%value%' does not look like a valid local network name.,%value%' nu arata ca un nume de retea locala valid.,module,Magento_Customer
%value%' does not look like a valid local network name.,%value%' nu arata ca un nume de retea locala valid.,module,Magento_Eav
%value%' looks like a DNS hostname but cannot extract TLD part.,"%value%' arata ca un nume de gazda DNS, dar nu poate extrage partea TLD.",module,Magento_Customer
%value%' looks like a DNS hostname but cannot extract TLD part.,"%value%' arata ca un nume de gazda DNS, dar nu poate extrage partea TLD.",module,Magento_Eav
%value%' looks like a DNS hostname but contains a dash in an invalid position.,"%value%' arata ca un nume de gazda DNS, dar contine o cratima intr-o pozitie nevalida.",module,Magento_Customer
%value%' looks like a DNS hostname but contains a dash in an invalid position.,"%value%' arata ca un nume de gazda DNS, dar contine o cratima intr-o pozitie nevalida.",module,Magento_Eav
%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,"%value%' arata ca un nume de gazda DNS, dar nu coincide cu schema numelui de gazda pentru TLD '%tld%'.",module,Magento_Customer
%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,"%value%' arata ca un nume de gazda DNS, dar nu coincide cu schema numelui de gazda pentru TLD '%tld%'.",module,Magento_Eav
%value%' looks like a DNS hostname but we cannot match the TLD against known list.,"%value%' arata ca un nume de gazda DNS, dar TLS-ul nu coincide cu lista cunoscuta.",module,Magento_Customer
